Test Sector:
Device ID, Channel, Tile ID, trial, x, y, IMON, RMON, VCOMP
xorigincm, xfinalcm, xsteplengthcm, xsteps = 13.5, 13.5, 0, 64
yorigincm, yfinalcm, ysteplengthcm, nRepeat = 18, 34, 0.25, 1

0, 2, 4, 0, 13.5, 18, 0.740, 1.386, 0.004


0, 2, 4, 0, 13.5, 18.25, 0.370, 1.380, 0.004


0, 2, 4, 0, 13.5, 18.5, 0.370, 1.383, 0.004


0, 2, 4, 0, 13.5, 18.75, 0.380, 1.390, 0.004


0, 2, 4, 0, 13.5, 19, 0.370, 1.394, 0.004


0, 2, 4, 0, 13.5, 19.25, 0.380, 1.392, 0.004


0, 2, 4, 0, 13.5, 19.5, 0.370, 1.384, 0.004


0, 2, 4, 0, 13.5, 19.75, 0.370, 1.380, 0.004


0, 2, 4, 0, 13.5, 20, 0.380, 1.393, 0.004


0, 2, 4, 0, 13.5, 20.25, 0.370, 1.391, 0.004


0, 2, 4, 0, 13.5, 20.5, 0.370, 1.386, 0.004


0, 2, 4, 0, 13.5, 20.75, 0.380, 1.385, 0.004


0, 2, 4, 0, 13.5, 21, 0.380, 1.383, 0.004


0, 2, 4, 0, 13.5, 21.25, 0.380, 1.379, 0.004


0, 2, 4, 0, 13.5, 21.5, 0.390, 1.389, 0.004


0, 2, 4, 0, 13.5, 21.75, 0.400, 1.382, 0.004


0, 2, 4, 0, 13.5, 22, 0.420, 1.389, 0.004


0, 2, 4, 0, 13.5, 22.25, 0.470, 1.400, 0.004


0, 2, 4, 0, 13.5, 22.5, 0.500, 1.389, 0.004


0, 2, 4, 0, 13.5, 22.75, 0.540, 1.386, 0.004


0, 2, 4, 0, 13.5, 23, 0.560, 1.387, 0.004


0, 2, 4, 0, 13.5, 23.25, 0.570, 1.370, 0.004


0, 2, 4, 0, 13.5, 23.5, 0.580, 1.374, 0.004


0, 2, 4, 0, 13.5, 23.75, 0.570, 1.375, 0.004


0, 2, 4, 0, 13.5, 24, 0.590, 1.382, 0.004


0, 2, 4, 0, 13.5, 24.25, 0.590, 1.335, 0.004


0, 2, 4, 0, 13.5, 24.5, 0.580, 1.381, 0.004


0, 2, 4, 0, 13.5, 24.75, 0.590, 1.387, 0.004


0, 2, 4, 0, 13.5, 25, 0.570, 1.379, 0.004


0, 2, 4, 0, 13.5, 25.25, 0.550, 1.383, 0.004


0, 2, 4, 0, 13.5, 25.5, 0.550, 1.408, 0.004


0, 2, 4, 0, 13.5, 25.75, 0.530, 1.382, 0.004


0, 2, 4, 0, 13.5, 26, 0.480, 1.387, 0.004


0, 2, 4, 0, 13.5, 26.25, 0.430, 1.380, 0.004


0, 2, 4, 0, 13.5, 26.5, 0.410, 1.393, 0.004


0, 2, 4, 0, 13.5, 26.75, 0.390, 1.395, 0.004


0, 2, 4, 0, 13.5, 27, 0.380, 1.393, 0.004


0, 2, 4, 0, 13.5, 27.25, 0.380, 1.383, 0.004


0, 2, 4, 0, 13.5, 27.5, 0.380, 1.383, 0.004


0, 2, 4, 0, 13.5, 27.75, 0.380, 1.385, 0.004


0, 2, 4, 0, 13.5, 28, 0.370, 1.387, 0.004


0, 2, 4, 0, 13.5, 28.25, 0.380, 1.390, 0.004


0, 2, 4, 0, 13.5, 28.5, 0.370, 1.393, 0.004


0, 2, 4, 0, 13.5, 28.75, 0.370, 1.392, 0.004


0, 2, 4, 0, 13.5, 29, 0.370, 1.396, 0.004


0, 2, 4, 0, 13.5, 29.25, 0.380, 1.388, 0.004


0, 2, 4, 0, 13.5, 29.5, 0.370, 1.398, 0.004


0, 2, 4, 0, 13.5, 29.75, 0.370, 1.389, 0.004


0, 2, 4, 0, 13.5, 30, 0.370, 1.392, 0.004


0, 2, 4, 0, 13.5, 30.25, 0.370, 1.391, 0.004


0, 2, 4, 0, 13.5, 30.5, 0.380, 1.377, 0.004


0, 2, 4, 0, 13.5, 30.75, 0.370, 1.389, 0.004


0, 2, 4, 0, 13.5, 31, 0.380, 1.385, 0.004


0, 2, 4, 0, 13.5, 31.25, 0.370, 1.393, 0.004


0, 2, 4, 0, 13.5, 31.5, 0.370, 1.393, 0.004


0, 2, 4, 0, 13.5, 31.75, 0.360, 1.383, 0.004


0, 2, 4, 0, 13.5, 32, 0.370, 1.390, 0.004


0, 2, 4, 0, 13.5, 32.25, 0.370, 1.389, 0.004


0, 2, 4, 0, 13.5, 32.5, 0.360, 1.379, 0.004


0, 2, 4, 0, 13.5, 32.75, 0.380, 1.393, 0.004


0, 2, 4, 0, 13.5, 33, 0.370, 1.399, 0.004


0, 2, 4, 0, 13.5, 33.25, 0.380, 1.372, 0.004


0, 2, 4, 0, 13.5, 33.5, 0.370, 1.390, 0.004


0, 2, 4, 0, 13.5, 33.75, 0.370, 1.391, 0.004


