Test Sector:
Device ID, Channel, Tile ID, trial, x, y, IMON, RMON, VCOMP
xorigincm, xfinalcm, xsteplengthcm, xsteps = 23, 23, 0, 40
yorigincm, yfinalcm, ysteplengthcm, nRepeat = 22, 32, 0.25, 5
0, 4, 8, 0, 23, 22, 0.360, 1.395, 0.004


0, 4, 8, 1, 23, 22, 0.380, 1.374, 0.004


0, 4, 8, 2, 23, 22, 0.370, 1.376, 0.004


0, 4, 8, 3, 23, 22, 0.370, 1.379, 0.004


0, 4, 8, 4, 23, 22, 0.380, 1.372, 0.004


0, 4, 8, 0, 23, 22.25, 0.380, 1.377, 0.004


0, 4, 8, 1, 23, 22.25, 0.370, 1.383, 0.004


0, 4, 8, 2, 23, 22.25, 0.370, 1.376, 0.004


0, 4, 8, 3, 23, 22.25, 0.380, 1.379, 0.004


0, 4, 8, 4, 23, 22.25, 0.380, 1.377, 0.004


0, 4, 8, 0, 23, 22.5, 0.380, 1.375, 0.004


0, 4, 8, 1, 23, 22.5, 0.380, 1.383, 0.004


0, 4, 8, 2, 23, 22.5, 0.380, 1.383, 0.004


0, 4, 8, 3, 23, 22.5, 0.370, 1.382, 0.004


0, 4, 8, 4, 23, 22.5, 0.380, 1.376, 0.004


0, 4, 8, 0, 23, 22.75, 0.380, 1.381, 0.004


0, 4, 8, 1, 23, 22.75, 0.370, 1.386, 0.004


0, 4, 8, 2, 23, 22.75, 0.380, 1.388, 0.004


0, 4, 8, 3, 23, 22.75, 0.380, 1.376, 0.004


0, 4, 8, 4, 23, 22.75, 0.380, 1.382, 0.004


0, 4, 8, 0, 23, 23, 0.380, 1.382, 0.004


0, 4, 8, 1, 23, 23, 0.380, 1.380, 0.004


0, 4, 8, 2, 23, 23, 0.380, 1.386, 0.004


0, 4, 8, 3, 23, 23, 0.380, 1.374, 0.004


0, 4, 8, 4, 23, 23, 0.380, 1.378, 0.004


0, 4, 8, 0, 23, 23.25, 0.390, 1.382, 0.004


0, 4, 8, 1, 23, 23.25, 0.380, 1.378, 0.004


0, 4, 8, 2, 23, 23.25, 0.380, 1.376, 0.004


0, 4, 8, 3, 23, 23.25, 0.370, 1.375, 0.004


0, 4, 8, 4, 23, 23.25, 0.370, 1.380, 0.004


0, 4, 8, 0, 23, 23.5, 0.380, 1.373, 0.004


0, 4, 8, 1, 23, 23.5, 0.380, 1.381, 0.004


0, 4, 8, 2, 23, 23.5, 0.380, 1.383, 0.004


0, 4, 8, 3, 23, 23.5, 0.370, 1.378, 0.004


0, 4, 8, 4, 23, 23.5, 0.380, 1.380, 0.004


0, 4, 8, 0, 23, 23.75, 0.380, 1.380, 0.004


0, 4, 8, 1, 23, 23.75, 0.390, 1.370, 0.004


0, 4, 8, 2, 23, 23.75, 0.370, 1.381, 0.004


0, 4, 8, 3, 23, 23.75, 0.380, 1.370, 0.004


0, 4, 8, 4, 23, 23.75, 0.390, 1.377, 0.004


0, 4, 8, 0, 23, 24, 0.380, 1.380, 0.004


0, 4, 8, 1, 23, 24, 0.390, 1.391, 0.004


0, 4, 8, 2, 23, 24, 0.380, 1.376, 0.004


0, 4, 8, 3, 23, 24, 0.380, 1.374, 0.004


0, 4, 8, 4, 23, 24, 0.380, 1.374, 0.004


0, 4, 8, 0, 23, 24.25, 0.400, 1.381, 0.004


0, 4, 8, 1, 23, 24.25, 0.390, 1.376, 0.004


0, 4, 8, 2, 23, 24.25, 0.390, 1.390, 0.004


0, 4, 8, 3, 23, 24.25, 0.390, 1.384, 0.004


0, 4, 8, 4, 23, 24.25, 0.390, 1.378, 0.004


0, 4, 8, 0, 23, 24.5, 0.400, 1.376, 0.004


0, 4, 8, 1, 23, 24.5, 0.400, 1.375, 0.004


0, 4, 8, 2, 23, 24.5, 0.410, 1.383, 0.004


0, 4, 8, 3, 23, 24.5, 0.400, 1.370, 0.004


0, 4, 8, 4, 23, 24.5, 0.400, 1.379, 0.004


0, 4, 8, 0, 23, 24.75, 0.420, 1.368, 0.004


0, 4, 8, 1, 23, 24.75, 0.410, 1.371, 0.004


0, 4, 8, 2, 23, 24.75, 0.410, 1.383, 0.004


0, 4, 8, 3, 23, 24.75, 0.410, 1.370, 0.004


0, 4, 8, 4, 23, 24.75, 0.420, 1.377, 0.004


0, 4, 8, 0, 23, 25, 0.430, 1.379, 0.004


0, 4, 8, 1, 23, 25, 0.420, 1.373, 0.004


0, 4, 8, 2, 23, 25, 0.440, 1.386, 0.004


0, 4, 8, 3, 23, 25, 0.430, 1.382, 0.004


0, 4, 8, 4, 23, 25, 0.440, 1.383, 0.004


0, 4, 8, 0, 23, 25.25, 0.440, 1.373, 0.004


0, 4, 8, 1, 23, 25.25, 0.440, 1.372, 0.004


0, 4, 8, 2, 23, 25.25, 0.440, 1.375, 0.004


0, 4, 8, 3, 23, 25.25, 0.430, 1.377, 0.004


0, 4, 8, 4, 23, 25.25, 0.450, 1.370, 0.004


0, 4, 8, 0, 23, 25.5, 0.450, 1.382, 0.004


