xorigincm, xfinalcm, xsteplengthcm, xsteps = 15, 15, 0, 64
yorigincm, yfinalcm, ysteplengthcm, nRepeat = 18, 34, 0.25, 1
The tile we are reading (FEE id, #ch) = Tile #4 ( device 0, channel 2 )
Test Sector:
Device ID, Channel, Tile ID, trial, x, y, IMON, RMON, VCOMP
0, 2, 4, 0, 15, 18, 0.340, 1.395, 0.004

0, 2, 4, 0, 15, 18.25, 0.340, 1.386, 0.004

0, 2, 4, 0, 15, 18.5, 0.350, 1.387, 0.004

0, 2, 4, 0, 15, 18.75, 0.350, 1.387, 0.004

0, 2, 4, 0, 15, 19, 0.350, 1.379, 0.004

0, 2, 4, 0, 15, 19.25, 0.350, 1.389, 0.004

0, 2, 4, 0, 15, 19.5, 0.340, 1.388, 0.004

0, 2, 4, 0, 15, 19.75, 0.350, 1.385, 0.004

0, 2, 4, 0, 15, 20, 0.340, 1.379, 0.004

0, 2, 4, 0, 15, 20.25, 0.340, 1.394, 0.004

0, 2, 4, 0, 15, 20.5, 0.350, 1.394, 0.004

0, 2, 4, 0, 15, 20.75, 0.340, 1.374, 0.004

0, 2, 4, 0, 15, 21, 0.350, 1.388, 0.004

0, 2, 4, 0, 15, 21.25, 0.350, 1.386, 0.004

0, 2, 4, 0, 15, 21.5, 0.360, 1.392, 0.004

0, 2, 4, 0, 15, 21.75, 0.370, 1.368, 0.004

0, 2, 4, 0, 15, 22, 0.390, 1.384, 0.004

0, 2, 4, 0, 15, 22.25, 0.440, 1.382, 0.004

0, 2, 4, 0, 15, 22.5, 0.470, 1.387, 0.004

0, 2, 4, 0, 15, 22.75, 0.510, 1.390, 0.004

0, 2, 4, 0, 15, 23, 0.510, 1.384, 0.004

0, 2, 4, 0, 15, 23.25, 0.530, 1.388, 0.004

0, 2, 4, 0, 15, 23.5, 0.540, 1.386, 0.004

0, 2, 4, 0, 15, 23.75, 0.540, 1.384, 0.004

0, 2, 4, 0, 15, 24, 0.550, 1.397, 0.004

0, 2, 4, 0, 15, 24.25, 0.550, 1.394, 0.004

0, 2, 4, 0, 15, 24.5, 0.550, 1.378, 0.004

0, 2, 4, 0, 15, 24.75, 0.550, 1.379, 0.004

0, 2, 4, 0, 15, 25, 0.550, 1.389, 0.004

0, 2, 4, 0, 15, 25.25, 0.530, 1.389, 0.004

0, 2, 4, 0, 15, 25.5, 0.520, 1.387, 0.004

0, 2, 4, 0, 15, 25.75, 0.470, 1.383, 0.004

0, 2, 4, 0, 15, 26, 0.420, 1.389, 0.004

0, 2, 4, 0, 15, 26.25, 0.370, 1.387, 0.004

0, 2, 4, 0, 15, 26.5, 0.360, 1.396, 0.004

0, 2, 4, 0, 15, 26.75, 0.370, 1.399, 0.004

0, 2, 4, 0, 15, 27, 0.350, 1.387, 0.004

0, 2, 4, 0, 15, 27.25, 0.350, 1.384, 0.004

0, 2, 4, 0, 15, 27.5, 0.350, 1.385, 0.004

0, 2, 4, 0, 15, 27.75, 0.350, 1.374, 0.004

0, 2, 4, 0, 15, 28, 0.350, 1.395, 0.004

0, 2, 4, 0, 15, 28.25, 0.350, 1.390, 0.004

0, 2, 4, 0, 15, 28.5, 0.350, 1.386, 0.004

0, 2, 4, 0, 15, 28.75, 0.350, 1.391, 0.004

0, 2, 4, 0, 15, 29, 0.360, 1.391, 0.004

0, 2, 4, 0, 15, 29.25, 0.360, 1.392, 0.004

0, 2, 4, 0, 15, 29.5, 0.350, 1.386, 0.004

0, 2, 4, 0, 15, 29.75, 0.350, 1.381, 0.004

0, 2, 4, 0, 15, 30, 0.350, 1.383, 0.004

0, 2, 4, 0, 15, 30.25, 0.350, 1.381, 0.004

0, 2, 4, 0, 15, 30.5, 0.340, 1.392, 0.004

0, 2, 4, 0, 15, 30.75, 0.350, 1.389, 0.004

0, 2, 4, 0, 15, 31, 0.350, 1.388, 0.004

0, 2, 4, 0, 15, 31.25, 0.340, 1.388, 0.004

0, 2, 4, 0, 15, 31.5, 0.340, 1.393, 0.004

0, 2, 4, 0, 15, 31.75, 0.350, 1.391, 0.004

0, 2, 4, 0, 15, 32, 0.350, 1.389, 0.004

0, 2, 4, 0, 15, 32.25, 0.360, 1.387, 0.004

0, 2, 4, 0, 15, 32.5, 0.360, 1.380, 0.004

0, 2, 4, 0, 15, 32.75, 0.340, 1.380, 0.004

0, 2, 4, 0, 15, 33, 0.350, 1.367, 0.004

0, 2, 4, 0, 15, 33.25, 0.350, 1.387, 0.004

0, 2, 4, 0, 15, 33.5, 0.350, 1.391, 0.004

0, 2, 4, 0, 15, 33.75, 0.340, 1.389, 0.004

