Test Run for Data taking:
Trial, Device, Channel, Tile, IMON, RMON, VCOMP
0, 0, 0, 2, 0.370, 1.378, 0.004

 
0, 0, 1, 4, 0.410, 1.384, 0.004

 
0, 0, 2, 6, 0.370, 1.404, 0.004

 
0, 0, 3, 8, 0.460, 1.391, 0.004

 
0, 0, 4, 10, 0.370, 1.378, 0.004

 
0, 0, 5, 12, 0.430, 1.388, 0.004

 
0, 0, 6, 14, 0.360, 1.386, 0.004

 
0, 0, 7, 16, 0.400, 1.372, 0.004

 
0, 0, 8, 18, 0.390, 1.389, 0.004

 
0, 0, 9, 20, 0.360, 1.392, 0.004

 
0, 0, 10, 22, 0.380, 1.382, 0.004

 
0, 0, 11, 24, 0.310, 1.396, 0.004

 
0, 0, 12, 26, 0.400, 1.385, 0.004

 
0, 0, 13, 28, 0.330, 1.385, 0.004

 
0, 0, 14, 30, 0.370, 1.403, 0.004

 
0, 0, 15, 32, 4.290, 1.339, 0.004

 
0, 1, 0, 1, 0.440, 1.368, 0.004

 
0, 1, 1, 3, 0.080, 1.383, 0.004

 
0, 1, 2, 5, 0.450, 1.365, 0.004

 
0, 1, 3, 7, 0.410, 1.349, 0.004

 
0, 1, 4, 9, 0.450, 1.384, 0.004

 
0, 1, 5, 11, 0.470, 1.365, 0.004

 
0, 1, 6, 13, 0.420, 1.370, 0.004

 
0, 1, 7, 15, 0.410, 1.387, 0.004

 
0, 1, 8, 17, 0.440, 1.371, 0.004

 
0, 1, 9, 19, 0.270, 1.363, 0.004

 
0, 1, 10, 21, 0.200, 1.370, 0.004

 
0, 1, 11, 23, 0.280, 1.369, 0.004

 
0, 1, 12, 25, 0.300, 1.374, 0.004

 
0, 1, 13, 27, 0.280, 1.372, 0.004

 
0, 1, 14, 29, 0.310, 1.365, 0.004

 
0, 1, 15, 31, 0.320, 1.371, 0.004

 
1, 0, 0, 2, 0.360, 1.391, 0.004

 
1, 0, 1, 4, 0.400, 1.370, 0.004

 
1, 0, 2, 6, 0.370, 1.396, 0.004

 
1, 0, 3, 8, 0.450, 1.375, 0.004

 
1, 0, 4, 10, 0.380, 1.379, 0.004

 
1, 0, 5, 12, 0.420, 1.390, 0.004

 
1, 0, 6, 14, 0.350, 1.391, 0.004

 
1, 0, 7, 16, 0.390, 1.381, 0.004

 
1, 0, 8, 18, 0.380, 1.386, 0.004

 
1, 0, 9, 20, 0.360, 1.386, 0.004

 
1, 0, 10, 22, 0.380, 1.382, 0.004

 
1, 0, 11, 24, 0.310, 1.396, 0.004

 
1, 0, 12, 26, 0.400, 1.381, 0.004

 
1, 0, 13, 28, 0.330, 1.379, 0.004

 
1, 0, 14, 30, 0.360, 1.401, 0.004

 
1, 0, 15, 32, 4.260, 1.356, 0.004

 
1, 1, 0, 1, 0.440, 1.370, 0.004

 
1, 1, 1, 3, 0.080, 1.379, 0.004

 
1, 1, 2, 5, 0.440, 1.366, 0.004

 
1, 1, 3, 7, 0.420, 1.359, 0.004

 
1, 1, 4, 9, 0.430, 1.379, 0.004

 
1, 1, 5, 11, 0.460, 1.381, 0.004

 
1, 1, 6, 13, 0.410, 1.378, 0.004

 
1, 1, 7, 15, 0.410, 1.376, 0.004

 
1, 1, 8, 17, 0.440, 1.375, 0.004

 
1, 1, 9, 19, 0.250, 1.357, 0.004

 
1, 1, 10, 21, 0.180, 1.369, 0.004

 
